originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,is_Documentary,is_History,is_Adventure,is_Thriller,is_Game-Show,is_Comedy,is_Sci-Fi,is_Romance,is_Biography,is_Musical,is_Western,is_Music,is_Film-Noir,is_Adult,is_Reality-TV,is_News,is_Action,is_Crime,is_Short,is_Fantasy,is_Family,is_Mystery,is_Talk-Show,is_Drama,is_Sport,is_War,is_Horror,is_Animation,fill_runtimeMinutes
Kakaya u vas ulybka,8,7.588829878307813,,89.0,0.0,2.995732273553991,0.6931471805599453,0.0,4.0943445622221,0.0,movie,0.0,False,0,1.0986122886681098,0.0,19,['SUHH'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.499809670330265
The Tower of Traps,8,7.593877844605118,,23.0,0.0,5.384495062789089,1.0986122886681098,0.0,2.9444389791664403,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.6931471805599453,222,['US'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.1780538303479458
Master of the Mix,7,7.606387389772652,7.607878073278507,60.0,0.0,3.5553480614894135,0.6931471805599453,0.0,5.484796933490655,0.0,tvSeries,0.0,True,0,0.6931471805599453,0.0,34,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.110873864173311
Amar Shapath,8,7.595889917718538,,,0.0,2.5649493574615367,0.0,0.0,2.4849066497880004,0.0,movie,0.0,False,0,0.6931471805599453,0.0,12,['IN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.51085950651685
El Paso Stampede,7,7.577633832602728,,53.0,0.0,4.204692619390966,2.0794415416798357,0.0,3.7376696182833684,0.0,movie,0.0,False,0,1.3862943611198906,1.3862943611198906,66,['US'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.9889840465642745
Parth Ferengi's Heart Place,8,7.6128310304073565,,25.0,0.0,6.548219102762372,2.8903717578961645,0.0,4.499809670330265,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.6931471805599453,700,['US'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.258096538021482
The Mystery of Morning Wood,8,7.59890045687141,,,0.0,4.74493212836325,0.6931471805599453,0.0,3.258096538021482,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.6931471805599453,114,['US'],0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.713572066704308
Yevam,9,7.613324979540639,,,0.0,7.321849713788356,1.791759469228055,1.0986122886681098,2.995732273553991,0.0,movie,0.0,False,0,1.791759469228055,2.0794415416798357,1514,['IN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.51085950651685
Blind Alley,9,7.595889917718538,,23.0,0.0,4.248495242049359,0.0,0.0,4.07753744390572,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.0,69,['US'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.1780538303479458
The Last Warning,7,7.564757012905729,,,0.0,6.745236349484363,3.6375861597263857,0.6931471805599453,3.6375861597263857,3.091042453358316,movie,0.0,False,0,2.8903717578961645,2.833213344056216,851,['US'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.51085950651685
Geoleoseo haneulgaji,5,7.597396320212795,,,0.0,2.3978952727983707,0.6931471805599453,0.0,2.3978952727983707,0.0,movie,0.0,False,0,0.6931471805599453,0.0,10,['KR'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.51085950651685
1 of 9 Voted Off,6,7.60688453121963,,,0.0,3.8066624897703196,2.1972245773362196,0.0,4.07753744390572,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.0,44,['US'],1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.713572066704308
Gina,6,7.590346945602565,,,0.0,2.302585092994046,2.70805020110221,0.0,3.5553480614894135,0.0,tvSeries,0.0,True,0,0.6931471805599453,0.0,9,['BR'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4657359027997265
Hitler,6,7.5822291942764615,,107.0,0.6931471805599453,5.929589143389895,2.3978952727983707,0.0,4.31748811353631,0.6931471805599453,movie,0.6931471805599453,False,0,2.1972245773362196,2.9444389791664403,375,['US'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.68213122712422
The Last Leaf,7,7.597897950521784,,30.0,0.0,2.9444389791664403,0.6931471805599453,0.0,4.30406509320417,0.0,short,0.0,False,0,0.6931471805599453,0.0,18,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.4339872044851463
The Luckiest Guys on the Lower East Side,8,7.61085279039525,,,0.0,2.302585092994046,2.6390573296152584,0.0,3.4657359027997265,0.0,tvMiniSeries,0.0,True,0,0.6931471805599453,0.0,9,['US'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.110873864173311
Episode #1.8,8,7.602401335665818,,70.0,0.0,2.5649493574615367,0.6931471805599453,0.0,2.0794415416798357,0.6931471805599453,tvEpisode,0.0,False,0,2.0794415416798357,0.0,12,['KR'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.2626798770413155
Two Daughters of Eve,8,7.556427969440253,,18.0,0.0,3.4657359027997265,1.0986122886681098,0.0,3.258096538021482,0.0,short,0.0,False,0,1.0986122886681098,0.6931471805599453,31,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.9444389791664403
O Monstro Caraíba,7,7.588829878307813,,70.0,0.0,2.833213344056216,0.6931471805599453,0.0,2.70805020110221,0.0,movie,0.0,False,0,1.0986122886681098,0.0,16,['BR'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2626798770413155
"Happy Birthday, Lou!",9,7.587817219993427,,30.0,0.0,5.1647859739235145,0.6931471805599453,0.0,3.713572066704308,0.0,tvEpisode,0.0,False,0,0.6931471805599453,1.3862943611198906,174,['US'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4339872044851463
Cràpules,5,7.597897950521784,,,1.0986122886681098,2.3978952727983707,0.6931471805599453,0.0,3.258096538021482,0.0,movie,0.0,False,0,0.6931471805599453,0.0,10,['ES'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51085950651685
Moon Dreamers,8,7.594381242551817,7.59488438721652,30.0,0.0,4.844187086458591,1.791759469228055,0.0,5.351858133476067,0.0,tvSeries,1.0986122886681098,True,0,1.6094379124341003,0.6931471805599453,126,['US'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.4339872044851463
Lampiasan nafsu,9,7.599401333415815,,,0.0,2.8903717578961645,0.0,0.0,2.6390573296152584,0.0,movie,0.0,False,0,0.6931471805599453,0.0,17,['ID'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.51085950651685
La resa dei conti: Dal gran consiglio al processo di Verona,8,7.585788821732034,,120.0,0.0,2.1972245773362196,0.0,0.0,2.833213344056216,0.0,tvMovie,0.0,False,0,1.0986122886681098,0.0,8,"['IT', 'XWG']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.795790545596741
"Marcel the Shell with Shoes On, Two",8,7.60688453121963,,4.0,0.0,6.129050210060545,1.3862943611198906,0.0,1.9459101490553132,0.6931471805599453,short,0.0,False,0,1.3862943611198906,1.0986122886681098,459,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.6094379124341003
The Golden Pince-Nez,8,7.598399329323964,,51.0,0.0,6.601230118728877,2.772588722239781,0.0,3.912023005428146,0.6931471805599453,tvEpisode,0.0,False,0,0.6931471805599453,2.302585092994046,735,['GB'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3.9512437185814275
Drew Barrymore/Lily Collins/Terry Gilliam/Beast Coast,7,7.61085279039525,,,0.0,2.772588722239781,1.791759469228055,0.0,3.4339872044851463,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.0,15,['US'],0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.713572066704308
Sulle Sathya: The Real Lie,8,7.607878073278507,,40.0,0.0,2.70805020110221,0.6931471805599453,0.0,2.772588722239781,0.0,short,0.0,False,0,0.6931471805599453,0.6931471805599453,14,['IN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.713572066704308
