originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,numRegions,userReviewsTotal,is_Documentary,is_History,is_Adventure,is_Thriller,is_Game-Show,is_Comedy,is_Sci-Fi,is_Romance,is_Biography,is_Musical,is_Western,is_Music,is_Film-Noir,is_Adult,is_Reality-TV,is_News,is_Action,is_Crime,is_Short,is_Fantasy,is_Family,is_Mystery,is_Talk-Show,is_Drama,is_Sport,is_War,is_Horror,is_Animation,fill_runtimeMinutes,is_from_Oceania,is_from_North America,is_from_South America,is_from_Asia,is_from_Africa,is_from_Europe,countryOfOrigin,countryOfOrigin_freq_enc,countryOfOrigin_NA,countryOfOrigin_AF,countryOfOrigin_AS,countryOfOrigin_EU,countryOfOrigin_OC,countryOfOrigin_SA,countryOfOrigin_UNK,fill_runtimeMinutes_Bruno,totalNominations,totalMedia,runtimeMinutes_notitletype,outlier_no_type,outlier_w_type
Cobra the Animation,8,2008,,,0.0,256,83,1,40,0,tvSeries,0,True,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31.0,0,0,0,1,0,0,['JP'],0.0470863249290365,0,0,1,0,0,0,0,30.0,0.0,84,30.0,False,False
Dragonzball P,9,2011,2011.0,,0.0,21,1,0,8,0,short,0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,13.0,0.0,1,16.0,False,False
Ulf og Claus Show,8,1980,1980.0,,0.0,9,0,0,7,0,tvSeries,0,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,0,0,0,0,0,1,['DK'],0.0067345689319307,0,0,0,1,0,0,0,50.0,0.0,0,50.0,False,False
Misono yunibâsu,7,2015,2015.0,103.0,2.0,326,2,0,25,17,movie,3,False,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,103.0,0,0,0,1,0,0,['JP'],0.0470863249290365,0,0,1,0,0,0,0,103.0,5.0,2,103.0,False,False
Forbidden Land,5,1989,1989.0,23.0,0.0,6,0,0,24,0,tvEpisode,0,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,23.0,0,0,0,0,0,1,['FR'],0.0459731730394612,0,0,0,1,0,0,0,23.0,0.0,0,23.0,False,False
True Love,7,2010,2010.0,,0.0,64,0,0,15,0,tvMovie,0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,90.0,0.0,0,57.0,False,False
Domesday,7,2010,2010.0,,0.0,16,0,0,26,0,tvMovie,0,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,60.0,0.0,0,68.0,False,False
Tight Squeeze,8,1985,1985.0,23.0,0.0,169,2,0,19,0,tvEpisode,0,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,23.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,23.0,0.0,2,23.0,False,False
L'amore e la guerra,8,2007,2007.0,200.0,0.0,78,1,0,86,1,tvMovie,0,False,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,200.0,0,0,0,0,0,1,['IT'],0.0234875048700395,0,0,0,1,0,0,0,200.0,0.0,1,200.0,True,True
The Wyrm of Bwlch Pen Barras,7,2023,2023.0,14.0,0.0,20,6,0,34,4,short,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,14.0,0.0,6,14.0,False,False
The New King: Part One,9,2009,2009.0,43.0,0.0,140,1,0,207,0,tvEpisode,0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,43.0,0.0,1,43.0,False,False
