originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,is_Documentary,is_History,is_Adventure,is_Thriller,is_Game-Show,is_Comedy,is_Sci-Fi,is_Romance,is_Biography,is_Musical,is_Western,is_Music,is_Film-Noir,is_Adult,is_Reality-TV,is_News,is_Action,is_Crime,is_Short,is_Fantasy,is_Family,is_Mystery,is_Talk-Show,is_Drama,is_Sport,is_War,is_Horror,is_Animation,fill_runtimeMinutes,is_from_Oceania,is_from_North America,is_from_South America,is_from_Asia,is_from_Africa,is_from_Europe,countryOfOrigin,countryOfOrigin_freq_enc,countryOfOrigin_NA,countryOfOrigin_AF,countryOfOrigin_AS,countryOfOrigin_EU,countryOfOrigin_OC,countryOfOrigin_SA,countryOfOrigin_UNK,fill_runtimeMinutes_Bruno
The Italian Banker,8,2007,2007.0,41.0,0.0,155,1,0,208,0,tvEpisode,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,41.0
Dødsangstens maskespil,7,1912,1912.0,34.0,0.0,15,2,0,16,0,short,0,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,34.0,0,0,0,0,0,1,['DK'],0.0067345689319307,0,0,0,1,0,0,0,34.0
Kris Humphries Is a Douchebag,3,2012,2012.0,,0.0,14,0,0,20,0,short,0,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,10.0
Poczatek,6,1983,1983.0,6.0,0.0,19,0,0,7,0,short,0,False,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,1,['PL'],0.0067345689319307,0,0,0,1,0,0,0,6.0
Stand by Me: AIDS Day Benefit,8,1987,1987.0,60.0,0.0,17,0,0,22,0,tvSpecial,0,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,60.0
Light Side,7,2021,2021.0,8.0,0.0,85,1,0,45,1,tvEpisode,0,False,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,8.0
Claire & Bobby,6,2009,2009.0,12.0,0.0,8,0,0,16,0,short,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,12.0
Potential Energy,8,2016,2016.0,,0.0,4620,17,0,255,16,tvEpisode,0,False,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,40.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,25.0
La gran carrera,8,2010,2010.0,,0.0,91,1,1,68,0,short,3,False,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,12.0,0,0,0,0,0,1,['ES'],0.0180887182055991,0,0,0,1,0,0,0,17.0
Menumpas Teroris,6,1987,1987.0,90.0,0.0,28,1,0,34,0,movie,0,False,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90.0,0,0,0,1,0,0,['ID'],0.0018367006177992,0,0,1,0,0,0,0,90.0
Zzzen,6,2015,2015.0,7.0,0.0,6,0,0,8,0,short,0,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7.0,0,0,0,0,0,1,['FR'],0.0459731730394612,0,0,0,1,0,0,0,7.0
Blonde on Blonde,8,1987,1987.0,60.0,0.0,233,1,0,64,1,tvEpisode,0,False,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,60.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,60.0
En tu Casa a las 8,6,1995,1995.0,75.0,0.0,41,3,0,15,0,movie,0,False,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,1,0,0,0,['CL'],0.0012801246730116,0,0,0,0,0,1,0,75.0
A Deadly Secret: The Robert Bierer Story,7,1992,1992.0,,0.0,12,0,0,31,0,tvEpisode,0,False,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,40.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,41.0
Pastorali,8,1975,1975.0,95.0,2.0,587,11,0,23,4,movie,0,False,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,95.0,0,0,0,0,0,1,['SUHH'],0.0132465074859464,0,0,0,0,0,0,1,95.0
Strijd zonder einde,8,1955,1955.0,27.0,0.0,45,1,0,10,1,short,1,False,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.0,0,0,0,0,0,1,"['GB', 'NL']",0.1081983636667223,0,0,0,2,0,0,0,27.0
Adam Newman: Fuzzies,6,2017,2017.0,,0.0,45,1,0,45,0,tvSpecial,0,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,72.0
Let's Go Crazy,6,1951,1951.0,32.0,0.0,178,2,0,25,0,short,0,False,0,1,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,32.0
Bebek,5,1987,1987.0,74.0,0.0,22,1,0,29,0,movie,0,False,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,74.0,0,0,0,1,0,0,['TR'],0.0104079701675293,0,0,1,0,0,0,0,74.0
Niet voor publikatie,8,1991,,,0.0,31,1,0,218,0,tvSeries,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31.0,0,0,0,0,0,1,['BE'],0.0062893081761006,0,0,0,1,0,0,0,30.0
4.del,6,1978,1978.0,,0.0,5,0,0,48,0,tvEpisode,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.0,0,0,0,0,0,1,"['SE', 'DK']",0.0162520175877998,0,0,0,2,0,0,0,43.0
Jusqu'au coeur,6,1969,1969.0,,0.0,39,9,0,17,0,movie,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90.0,0,1,0,0,0,0,['CA'],0.034563366171314,1,0,0,0,0,0,0,93.0
